departamento,municipio,rendimiento_promedio,rendimiento_variabilidad,tendencia_promedio,cluster,perfil
NARIÑO,SANDONA,1.1872,0.07226479087356442,-0.0496666666666666,1,Rendimiento medio — monitoreo estándar
NARIÑO,TAMINANGO,0.7756000000000001,0.05934475545488413,-0.017333333333333333,1,Rendimiento medio — monitoreo estándar
NORTE DE SANTANDER,NORTE DE SANTANDER-M1,0.8058,0.05651283040159997,0.006777777777777799,0,Rendimiento bajo — requiere atención
NORTE DE SANTANDER,NORTE DE SANTANDER-M2,1.124,0.0685273667960472,0.0096666666666667,2,Rendimiento alto — buen desempeño
QUINDÍO,QUINDÍO-M1,1.0288,0.060705848153205295,-0.010666666666666632,2,Rendimiento alto — buen desempeño
QUINDÍO,QUINDÍO-M2,1.1,0.034307433596817,-0.008777777777777801,2,Rendimiento alto — buen desempeño
RISARALDA,PEREIRA,1.1898,0.05887019619467904,0.02333333333333333,2,Rendimiento alto — buen desempeño
RISARALDA,SANTA ROSA DE CABAL,0.9858,0.04506883623969011,0.007,2,Rendimiento alto — buen desempeño
SANTANDER,SAN GIL,0.9259999999999999,0.08684468895678077,-0.0033333333333333028,1,Rendimiento medio — monitoreo estándar
SANTANDER,SOCORRO,0.7026,0.05985231825084139,0.005888888888888867,0,Rendimiento bajo — requiere atención
TOLIMA,CHAPARRAL,0.7432000000000001,0.026743223440714864,0.001444444444444433,0,Rendimiento bajo — requiere atención
TOLIMA,IBAGUE,0.687,0.05270199237220545,-0.0023333333333333335,0,Rendimiento bajo — requiere atención
TOLIMA,PLANADAS,0.8906000000000001,0.0752283191358148,-0.015777777777777797,1,Rendimiento medio — monitoreo estándar
TOLIMA,RIOBLANCO,1.0326,0.06277180895911791,0.003777777777777734,2,Rendimiento alto — buen desempeño
VALLE DEL CAUCA,CAICEDONIA,0.8912000000000001,0.061702512104451594,0.010111111111111131,0,Rendimiento bajo — requiere atención
VALLE DEL CAUCA,SEVILLA,0.9408,0.09531893830713808,-0.02333333333333333,1,Rendimiento medio — monitoreo estándar
VALLE DEL CAUCA,TRUJILLO,0.9890000000000001,0.058446556784809825,0.011666666666666633,2,Rendimiento alto — buen desempeño
